move_name,move_type,level,source,video_id,loop_start,loop_end,loop_speed,loop_link,guide_start,1Matt Crush,2Matt Review,3Matt Check,Matt Fix,4Jean-Marc Crush,5Jean-Marc Review,notes
Shadow Position,pattern,5,Aram's Place,iD3Gyug4s0s,0,,,https://www.youtube.com/watch?v=iD3Gyug4s0s,,,,,,,,
Bachata Beginner Combo,pattern,6,Batchata Dance Academy ,fcObYXmv6R0,0,,,https://www.youtube.com/watch?v=fcObYXmv6R0,,,x,,replace,,,"R turn her  L turn him, w waist trace  Catch w R to R hand  Invite accross to tuck copa  Both change place in sync  Shadow pass  R turn out, to left over grip  Hand up to her hair comb  To closed pos  RCBL w shoulder turn  Underhand change of place  Repeat"
Two hand turn,move,3,Dance Dojo,WQybfnuCLno,4,,,https://www.youtube.com/watch?v=WQybfnuCLno,,,,,unav,,,
New Recruit,pattern,3,Dance Dojo,NTZHdwXagAw,4,,,https://www.youtube.com/watch?v=NTZHdwXagAw,,,,,unav,,,"R turn for her, L hand  R turn to cuddle & L out  Two hand R turn & out  R hand martini tray (L turn) for him  R turn her to hammerlock & out  L turn him w hand pass"
Open Wide,pattern,4,Dance Dojo,k-2z1ZqY1Dg,4,,,https://www.youtube.com/watch?v=k-2z1ZqY1Dg,,x,x,,,,,"From side base, throw hands high  1 Cumbia step  L turn for her  To cuddle  R turn for her  R turn for him, pass hands  Two hand R turn for her  Two hand L turn for her  Straghten her arms, raise them high  Regrip underhand"
Toalla ,pattern,4,Dance Dojo,9x5vP9ji-g8,4,,,https://www.youtube.com/watch?v=9x5vP9ji-g8,,,,,unav,,,"Side basic, R turn her  Regrip RR  Left turn her  Regrip right over  R turn her to hammerlock  L turn to other hammerlock  D hair comb for him  To cosed side basic  Repeat"
Underhanded,pattern,4,Dance Dojo,dJNnjZwuGaw,4,,,https://www.youtube.com/watch?v=dJNnjZwuGaw,,,,,unav,,,
Underhand 2,pattern,5,Dance Dojo,xI4975YETPg,4,,,https://www.youtube.com/watch?v=xI4975YETPg,,,x,,,,,"Lots of forward-back basic, w underhand grip."
Driving Test,pattern,6,Dance Dojo,jFIFoJJH1TA,4,,,https://www.youtube.com/watch?v=jFIFoJJH1TA,,,,,,,,Lots of underhand grip with diagonal basics.
Hip Isolations,move,4,KST Dance,F80iAAJoZVQ,55,1:14,0.75,https://www.youtube.com/watch?v=F80iAAJoZVQ,47,,,,,,,Could break out more versions of this move in the video
Shadow Position,move,5,KST Dance,gvZTpnAGezA,1:00,1:09,,https://www.youtube.com/watch?v=gvZTpnAGezA,,,,,,,,
Criss Cross,pattern,6,KST Dance,kpp03v1S9VE,5,,,https://www.youtube.com/watch?v=kpp03v1S9VE,,,,,,,,
Madrid step,pattern,7,KST Dance,z_-pF5BBAg0,0,9,0.75,https://www.youtube.com/watch?v=z_-pF5BBAg0,10,,,,,,,
Side To Side Basic Step,move,1,Roberto & Magdalena Bachata,oj-S6T4oZeU,0:17,0:35,,https://www.youtube.com/watch?v=oj-S6T4oZeU,,,,,unav,,,
Front Basic Step,move,2,Roberto & Magdalena Bachata,oj-S6T4oZeU,0:34,0:50,,https://www.youtube.com/watch?v=oj-S6T4oZeU,,,,,unav,,,
Box Step,move,3,Roberto & Magdalena Bachata,oj-S6T4oZeU,0:49,1:04,,https://www.youtube.com/watch?v=oj-S6T4oZeU,,,,,unav,,,
Woman's Turn,move,3,Roberto & Magdalena Bachata,oj-S6T4oZeU,1:03,1:21,,https://www.youtube.com/watch?v=oj-S6T4oZeU,,,,,unav,,,
Man's Turn,move,3,Roberto & Magdalena Bachata,oj-S6T4oZeU,1:20,1:40,,https://www.youtube.com/watch?v=oj-S6T4oZeU,,,,,unav,,,
Two Hands Turn,move,3,Roberto & Magdalena Bachata,oj-S6T4oZeU,1:39,1:57,,https://www.youtube.com/watch?v=oj-S6T4oZeU,,,,,unav,,,
Open-Close,move,3,Roberto & Magdalena Bachata,oj-S6T4oZeU,2:39,2:59,,https://www.youtube.com/watch?v=oj-S6T4oZeU,,,,,unav,,,
Lateral Basic,move,3,Roberto & Magdalena Bachata,oj-S6T4oZeU,2:58,3:17,,https://www.youtube.com/watch?v=oj-S6T4oZeU,,,,,unav,,,
Change Places,move,3,Roberto & Magdalena Bachata,oj-S6T4oZeU,3:16,3:29,,https://www.youtube.com/watch?v=oj-S6T4oZeU,,,,,unav,,,
Pretzel Turn,move,4,Roberto & Magdalena Bachata,oj-S6T4oZeU,1:56,2:22,,https://www.youtube.com/watch?v=oj-S6T4oZeU,,,,,unav,,,
Half Turn Man,move,4,Roberto & Magdalena Bachata,oj-S6T4oZeU,3:28,3:53,,https://www.youtube.com/watch?v=oj-S6T4oZeU,,,,,unav,,,
Bass Basic Step,move,4,Roberto & Magdalena Bachata,oj-S6T4oZeU,3:52,4:09,,https://www.youtube.com/watch?v=oj-S6T4oZeU,,,,,unav,,,
Change Places With Turn,move,4,Roberto & Magdalena Bachata,oj-S6T4oZeU,4:08,4:22,,https://www.youtube.com/watch?v=oj-S6T4oZeU,,,,,unav,,,
Break Forward,move,4,Roberto & Magdalena Bachata,oj-S6T4oZeU,4:21,4:36,,https://www.youtube.com/watch?v=oj-S6T4oZeU,,,,,unav,,,
Walk Her / Paséala,move,4,Roberto & Magdalena Bachata,oj-S6T4oZeU,4:35,4:53,,https://www.youtube.com/watch?v=oj-S6T4oZeU,,,,,unav,,,
180° / 360°,move,4,Roberto & Magdalena Bachata,oj-S6T4oZeU,4:52,5:07,,https://www.youtube.com/watch?v=oj-S6T4oZeU,,,,,unav,,,
Walk Around,move,4,Roberto & Magdalena Bachata,oj-S6T4oZeU,6:22,6:41,,https://www.youtube.com/watch?v=oj-S6T4oZeU,,,,,unav,,,
Change of place with turn,move,5,Roberto & Magdalena Bachata,oj-S6T4oZeU,4:08,4:21,,https://www.youtube.com/watch?v=oj-S6T4oZeU,,x,x,,unav,x,,
Hammerlock,move,5,Roberto & Magdalena Bachata,oj-S6T4oZeU,2:22,2:38,,https://www.youtube.com/watch?v=oj-S6T4oZeU,,,x,,unav,,,"Hammerlock, hairbrush, to closed is nice  BXrW914mtT8"
Arm Breaker / Hammerlock,move,5,Roberto & Magdalena Bachata,oj-S6T4oZeU,2:21,2:40,,https://www.youtube.com/watch?v=oj-S6T4oZeU,,,,,unav,,,
Shadow Position,move,5,Roberto & Magdalena Bachata,oj-S6T4oZeU,5:06,5:39,,https://www.youtube.com/watch?v=oj-S6T4oZeU,,,,,unav,,,
Half Turn Woman,move,5,Roberto & Magdalena Bachata,oj-S6T4oZeU,5:38,6:05,,https://www.youtube.com/watch?v=oj-S6T4oZeU,,,,,unav,,,
Step-Tap,move,5,Roberto & Magdalena Bachata,oj-S6T4oZeU,6:04,6:23,,https://www.youtube.com/watch?v=oj-S6T4oZeU,,,,,unav,,,
Slide,move,5,Roberto & Magdalena Bachata,oj-S6T4oZeU,6:40,6:59,,https://www.youtube.com/watch?v=oj-S6T4oZeU,,,,,unav,,,
Elbows In,move,5,Roberto & Magdalena Bachata,oj-S6T4oZeU,6:58,7:17,,https://www.youtube.com/watch?v=oj-S6T4oZeU,,,,,unav,,,
Footwork,move,5,Roberto & Magdalena Bachata,oj-S6T4oZeU,7:16,7:33,,https://www.youtube.com/watch?v=oj-S6T4oZeU,,,,,unav,,,
Windmill Turn,move,5,Roberto & Magdalena Bachata,oj-S6T4oZeU,7:32,7:50,,https://www.youtube.com/watch?v=oj-S6T4oZeU,,,,,unav,,,
Magic combo,pattern,8,Salsa Libre,iPgRa_O5oWs,0,,,https://www.youtube.com/watch?v=iPgRa_O5oWs,,,,,unav,,,
Closed shadow position,move,4,Tam Pham Batchata,hNe83C7M8v4,2:38,,,https://www.youtube.com/watch?v=hNe83C7M8v4,,,,,,,,
Beautiful combo,pattern,7,Dance Dojo,MJ6vB8yRTdg,4,,,https://www.youtube.com/watch?v=MJ6vB8yRTdg,,,x,,,,,"Underhand side basic  Underhand turned walking basic  Straighten her arms, trace them high  R turn to cuddle  L turn to open underhand  Both step past diagonal CL ish  Two hand turn him L / R  CBL"
Cuddle Moves,move,5,Roberto & Magdalena Bachata,KazwuBDS6rA,,,,https://www.youtube.com/watch?v=KazwuBDS6rA,,,,x,x,,,These moves are a good way to begin sensual Bachata.
Cool Doable Moves,move,5,Vancouver Salsa Studio,mkB8jymlDoQ,,,,https://www.youtube.com/watch?v=mkB8jymlDoQ,,,,x,x,,,
Turns for Men,move,5,Roberto & Magdalena Bachata,YhFvrdTKHVk,,,,https://www.youtube.com/watch?v=YhFvrdTKHVk,,,,x,x,,,
Beginner Turns,move,5,Roberto & Magdalena Bachata,cpte3LYa8e8,,,,https://www.youtube.com/watch?v=cpte3LYa8e8,,,,x,x,,,
Batchata Beginner Combo 2,move,5,Batchata Dance Academy ,2PyZywgrQOQ,,,,https://www.youtube.com/watch?v=2PyZywgrQOQ,,,,x,x,,,"Underhand wide grip  Change of place  L turn her  L turn him w waist trace  RR regrip  Invite accross into hammerlock  Accross again into other hammerlock  Side basic to R  Hair comb to L shoulder turn out of hammerlock  Into closed, raise her L arm over his head  Change of place"